Subject number: clockwise
[0.0, -0.0, 0.0]	[0.0, 1.8200000524520874, -0.0]	6.08200001717
[57.02275466918945, 13.833890914916992, 2.5198514461517334]	[-0.411917120218277, 1.5744949579238892, 0.4250169098377228]	6.46300005913
[57.675048828125, 13.36438274383545, 1.667470097541809]	[-0.5074291229248047, 1.5596870183944702, 0.39353010058403015]	6.47000002861
[57.67473602294922, 13.36446762084961, 1.6619046926498413]	[-0.5004348754882812, 1.560294270515442, 0.397331178188324]	6.48300004005
[57.677650451660156, 13.367512702941895, 1.6410216093063354]	[-0.5003368854522705, 1.560282588005066, 0.3973713517189026]	6.4960000515
[57.682167053222656, 13.366769790649414, 1.6276119947433472]	[-0.5002503395080566, 1.560270071029663, 0.3974105715751648]	6.50900006294
[57.68069839477539, 13.36255168914795, 1.6109638214111328]	[-0.500182569026947, 1.5602104663848877, 0.39745405316352844]	6.52300000191
[57.67294692993164, 13.35462474822998, 1.5993058681488037]	[-0.5000103712081909, 1.5601991415023804, 0.39748749136924744]	6.53600001335
[57.65460968017578, 13.341623306274414, 1.59001624584198]	[-0.4999074637889862, 1.560174584388733, 0.39750316739082336]	6.5490000248
[57.62957000732422, 13.33043384552002, 1.586737036705017]	[-0.49967265129089355, 1.5602161884307861, 0.3975239098072052]	6.56299996376
[57.59790802001953, 13.320075035095215, 1.5896159410476685]	[-0.4995441138744354, 1.560207486152649, 0.3975239396095276]	6.5759999752
[57.558555603027344, 13.312766075134277, 1.5972449779510498]	[-0.49946871399879456, 1.560145378112793, 0.3975340723991394]	6.58899998665
[57.51398468017578, 13.312726020812988, 1.6003707647323608]	[-0.49936404824256897, 1.5601506233215332, 0.3975164592266083]	6.60299992561
[57.47531509399414, 13.31033706665039, 1.60513174533844]	[-0.4992690086364746, 1.5601550340652466, 0.3975006639957428]	6.61599993706
[57.4346923828125, 13.31045913696289, 1.6204614639282227]	[-0.4991604685783386, 1.5601812601089478, 0.39747315645217896]	6.6289999485
[57.402042388916016, 13.311150550842285, 1.6316629648208618]	[-0.49907493591308594, 1.5602012872695923, 0.39745184779167175]	6.64300012589
[57.37479019165039, 13.311288833618164, 1.6330060958862305]	[-0.4990116357803345, 1.5602036714553833, 0.39744168519973755]	6.65599989891
[57.34889602661133, 13.316364288330078, 1.6330829858779907]	[-0.4989570379257202, 1.560211420059204, 0.397430419921875]	6.66899991035
[57.3276481628418, 13.318117141723633, 1.6345294713974]	[-0.4989086985588074, 1.5602165460586548, 0.397421270608902]	6.68300008774
[57.309661865234375, 13.317928314208984, 1.6339633464813232]	[-0.4988682270050049, 1.5602152347564697, 0.3974160850048065]	6.69600009918
[57.293758392333984, 13.317423820495605, 1.6309022903442383]	[-0.49883487820625305, 1.5602093935012817, 0.39741408824920654]	6.70900011063
[57.286293029785156, 13.31785774230957, 1.6367831230163574]	[-0.4988120198249817, 1.5602200031280518, 0.39740604162216187]	6.72300004959
[57.28341293334961, 13.318946838378906, 1.639899730682373]	[-0.4988030791282654, 1.5602269172668457, 0.3974016606807709]	6.73600006104
[57.28665542602539, 13.317373275756836, 1.6474153995513916]	[-0.4988010823726654, 1.5602372884750366, 0.39739668369293213]	6.74900007248
[57.30365753173828, 13.31671142578125, 1.6556464433670044]	[-0.4988304376602173, 1.560250163078308, 0.39739495515823364]	6.76300001144
[57.33058547973633, 13.315337181091309, 1.6651687622070312]	[-0.4988803565502167, 1.560264229774475, 0.39739564061164856]	6.77600002289
[57.365966796875, 13.308558464050293, 1.6738098859786987]	[-0.49894577264785767, 1.560268759727478, 0.39740288257598877]	6.78900003433
[57.41832733154297, 13.298393249511719, 1.6858949661254883]	[-0.4990432560443878, 1.5602740049362183, 0.3974143862724304]	6.8029999733
[57.47877883911133, 13.294029235839844, 1.6928993463516235]	[-0.4991695284843445, 1.560279369354248, 0.39743006229400635]	6.81599998474
[57.54966735839844, 13.297284126281738, 1.703589677810669]	[-0.4993222653865814, 1.5603023767471313, 0.39744168519973755]	6.82899999619
[57.6221809387207, 13.300939559936523, 1.7129606008529663]	[-0.4994804263114929, 1.560323715209961, 0.39745503664016724]	6.84299993515
[57.668724060058594, 13.31195068359375, 1.7211333513259888]	[-0.49958717823028564, 1.5603541135787964, 0.39745694398880005]	6.85599994659
[57.72269821166992, 13.328033447265625, 1.7234268188476562]	[-0.4997214376926422, 1.5603821277618408, 0.3974641263484955]	6.86899995804
[57.764129638671875, 13.333699226379395, 1.7342082262039185]	[-0.4998091757297516, 1.5604088306427002, 0.3974650204181671]	6.88300013542
